138	Terminal :	10.80.15.220 	 Kullanıcı :00387 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:54:11
139	Terminal :	10.80.15.220 	 Kullanıcı :00135 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:54:45
140	Terminal :	10.80.15.220 	 Kullanıcı :00184 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:55:02
141	Terminal :	10.80.15.220 	 Kullanıcı :00186 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:55:04
142	Terminal :	10.80.15.220 	 Kullanıcı :00081 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:55:07
143	Terminal :	10.80.15.220 	 Kullanıcı :00351 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:55:09
144	Terminal :	10.80.15.220 	 Kullanıcı :00250 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:55:20
145	Terminal :	10.80.15.220 	 Kullanıcı :00346 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:55:41
146	Terminal :	10.80.15.220 	 Kullanıcı :00131 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:55:45
147	Terminal :	10.80.15.220 	 Kullanıcı :00390 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:56:18
148	Terminal :	10.80.15.220 	 Kullanıcı :00389 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:56:21
149	Terminal :	10.80.15.220 	 Kullanıcı :00148 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:56:49
150	Terminal :	10.80.15.220 	 Kullanıcı :00166 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:56:58
151	Terminal :	10.80.15.220 	 Kullanıcı :00336 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:57:21
152	Terminal :	10.80.15.220 	 Kullanıcı :00303 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:58:19
153	Terminal :	10.80.15.220 	 Kullanıcı :00398 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:58:56
154	Terminal :	10.80.15.220 	 Kullanıcı :00055 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:58:59
155	Terminal :	10.80.15.220 	 Kullanıcı :00090 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:59:01
156	Terminal :	10.80.15.220 	 Kullanıcı :00084 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:59:02
157	Terminal :	10.80.15.220 	 Kullanıcı :00087 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:59:06
158	Terminal :	10.80.15.220 	 Kullanıcı :00048 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:59:09
159	Terminal :	10.80.15.220 	 Kullanıcı :00190 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:59:13
